psraid,internetUse,emailUse,internetYest,facebookUse,myspaceUse,linkedinUse,profileUse,twitterUse,payMusic,payVideo,payPhoto,payNews,payEbook,payGame,payRingtone,paySoftware,payApp,payAmount,payAmountMonth,household,emp,parent,sex,age,educ,race,inc,iphoneUse,twitterCheckFreq
100316,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,,0,2,3,2,2,50,5,1,6,2,
100318,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,,20,2,2,2,2,80,7,1,8,2,
100325,2,2,,,,,,,,,,,,,,,,,,1,2,2,2,35,5,1,1,1,
100327,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,,300,2,1,1,1,45,6,1,6,2,
100329,2,2,,,,,,,,,,,,,,,,,,5,3,2,1,78,3,1,1,1,
100333,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0,3,3,2,2,70,5,1,4,2,
100335,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,2,75,3,1,1,2,
100339,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,2,75,3,1,3,2,
100363,2,2,,,,,,,,,,,,,,,,,,1,2,2,2,48,3,2,2,1,
100370,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,100,10,1,1,1,2,53,6,1,99,2,7
100373,2,2,,,,,,,,,,,,,,,,,,2,3,2,2,63,6,2,3,1,
100378,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,,0,2,1,2,1,58,5,2,5,2,
100387,2,2,,,,,,,,,,,,,,,,,,2,3,2,2,71,6,1,5,2,
100398,2,2,,,,,,,,,,,,,,,,,,3,4,1,2,29,2,1,1,2,
100399,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,2,80,2,1,2,2,
100403,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,2,1,2,2,42,5,1,5,2,7
100404,1,1,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,,0,2,1,2,2,57,6,1,99,2,
100411,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,2,2,2,1,50,3,2,4,2,
100418,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,2,1,2,2,27,6,1,7,2,
100420,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,9998,3,1,2,2,52,3,1,5,2,
100429,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,81,6,1,99,2,
100434,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,99,3,1,99,1,
100438,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,,10,2,1,1,1,40,6,1,9,2,
100441,1,1,1,1,2,2,1,2,1,2,2,2,1,2,1,2,2,12,10,2,4,2,2,44,5,1,6,2,
100453,2,2,,,,,,,,,,,,,,,,,,2,3,2,2,73,3,1,2,1,
100460,2,2,,,,,,,,,,,,,,,,,,1,4,2,2,55,3,2,2,2,
100461,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1750,200,3,3,1,1,62,5,5,5,2,
100462,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,2,1,1,2,47,5,2,9,2,
100470,2,2,,,,,,,,,,,,,,,,,,2,3,2,2,72,6,1,6,2,
100478,2,2,,,,,,,,,,,,,,,,,,1,2,2,1,74,3,1,2,2,
100481,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,2,2,99,7,1,99,2,
100489,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,1,5,2,1,54,5,1,6,2,
100499,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,,0,2,1,1,1,33,4,4,99,2,7
100509,1,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,15,0,2,2,1,2,52,6,4,99,2,
100511,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,1,60,5,1,7,2,
100515,1,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1,1,10,1,2,3,2,2,59,5,1,7,2,7
100524,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,,0,2,4,1,1,30,7,1,2,2,
100526,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,1,2,,20,3,1,2,1,63,7,1,8,2,
100535,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,2,2,2,2,71,7,1,6,2,
100537,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,0,1,3,2,1,88,7,1,7,2,
100545,2,2,,,,,,,,,,,,,,,,,,2,4,2,2,50,3,1,99,2,
100546,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,2,1,1,2,28,3,1,2,2,
100556,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,,0,2,2,2,1,61,3,1,4,2,
100558,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,3,1,2,87,6,1,3,2,
100559,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,3,2,2,83,4,1,99,2,
100563,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,,0,1,3,2,2,61,6,1,3,2,
100564,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,0,2,3,2,2,73,6,2,3,2,
100565,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,,,2,1,2,1,44,7,1,7,2,
100573,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,1,2,1,74,7,1,9,2,
100579,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,30,2,2,2,2,2,39,5,1,4,2,
100580,1,1,1,2,2,2,2,2,2,2,2,2,8,2,2,1,1,,0,2,1,2,1,61,6,9,6,2,
100595,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,10,1,3,2,2,76,6,1,3,2,
100600,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,1,2,2,2,40,3,2,3,2,
100601,2,2,,,,,,,,,,,,,,,,,,2,3,2,1,85,6,1,3,2,
100603,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,1,2,,0,3,1,1,1,33,6,1,9,2,
100613,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,,0,2,1,1,1,47,3,1,8,2,
100618,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,1,2,150,0,1,4,2,1,24,5,1,1,2,
100620,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,,0,1,3,2,2,52,6,1,6,2,
100622,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,0,1,3,2,2,65,5,1,1,2,
100631,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,1,2,1,99,7,9,99,2,
100633,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,1,2,2,53,6,1,6,2,
100634,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,,2,3,1,1,2,46,7,1,8,2,
100636,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,3,4,2,1,20,3,2,99,1,
100650,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,,0,2,1,2,2,37,6,1,3,2,
100657,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,15,2,3,2,1,85,7,1,6,2,
100658,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,3,1,2,2,57,7,1,5,2,
100659,2,2,,,,,,,,,,,,,,,,,,1,3,2,2,77,1,1,1,1,
100661,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,,50,2,4,2,1,18,3,1,7,2,
100664,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,8,,,2,6,2,2,43,6,2,99,1,
100667,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,0,1,4,2,2,76,5,1,2,2,
100668,2,2,,,,,,,,,,,,,,,,,,2,4,2,1,42,3,2,3,1,
100669,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,4,1,2,2,20,6,1,99,2,
